Symbol,Spot,Strike Ratio,Strike Price,Implied Volatility,Mature Date,Name
w053599,t2105,0.2320,71.56,0.3769,2013/01/02,元富NN
w08044P,t2498,0.1,200.0,0.6099,2013/04/18,元大CB
w07911P,t2498,0.05,285.0,0.6473,2013/04/03,B2富邦
w054309,t2454,0.08,320.0,0.4791,2013/01/21,DV元大
w057365,t2489,0.25,22.5,0.4094,2013/05/30,元大EL
w07557P,t2317,0.2,79.0,0.4081,2013/03/01,群益NJ
w07421P,t1101,0.3,33.0,0.4432,2013/02/18,凱基7N
w07369P,t1216,0.3,49.0,0.3824,2013/03/13,群益KR
w055356,t2357,0.05,315.0,0.3955,2013/03/04,元富8N
w054434,t2618,0.7,18.22,0.4048,2013/01/23,統一DE
w053737,t2912,0.031,154.55,0.4327,2013/01/04,HF永豐
